ParticipantNumber,Vest,7,9,trial_name,trial_number,key_pressed,correctness,RT,question,picture,type,key1,key2,expected,QUD,pitch,startDate,startTime,experiment_id,Unnamed: 18
0,True,green or low pitch,red or high pitch,forced_choice_sound,6,7,correct,673,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,7,9,correct,907,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,8,7,correct,671,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,9,7,correct,620,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,10,7,correct,675,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,11,7,correct,762,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,12,9,correct,1000,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,13,9,correct,906,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,14,7,correct,624,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,15,9,correct,999,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,16,9,incorrect,668,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,17,9,correct,1329,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,18,9,incorrect,4152,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,19,9,correct,998,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,True,green or low pitch,red or high pitch,forced_choice_sound,20,9,correct,762,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 10:50:21 GMT+0100 (Mitteleuropäische Normalzeit),1678182621900,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,pauseScreen,1,9,correct,2220,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,1,9,correct,573,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,2,9,incorrect,2123,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,3,7,correct,1140,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,4,7,correct,762,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,5,9,correct,623,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,6,7,correct,623,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,7,9,correct,909,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,8,9,correct,807,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,9,9,correct,953,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,10,7,correct,999,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,11,7,correct,904,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,12,7,correct,578,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,13,9,correct,855,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,14,7,correct,629,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,15,9,correct,761,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,16,7,incorrect,763,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,17,7,incorrect,1090,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,18,9,correct,4108,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,19,9,incorrect,807,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
0,False,green or low pitch,red or high pitch,forced_choice_sound,20,7,correct,1378,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 11:07:49 GMT+0100 (Mitteleuropäische Normalzeit),1678183669038,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,pauseScreen,1,9,correct,966,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,1,9,correct,621,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,2,9,incorrect,1239,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,3,7,correct,1187,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,4,7,correct,811,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,5,9,correct,999,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,6,9,correct,1376,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,7,9,correct,858,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,8,7,correct,1143,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,9,9,correct,1187,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,10,9,correct,958,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,11,9,correct,808,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,12,9,correct,855,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,13,7,correct,718,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,14,7,correct,579,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,15,7,correct,1423,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,16,7,correct,903,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,17,7,correct,764,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,18,7,correct,908,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,19,9,correct,716,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,True,green or low pitch,red or high pitch,forced_choice_sound,20,9,correct,669,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:15:08 GMT+0100 (Mitteleuropäische Normalzeit),1678187708239,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,pauseScreen,1,9,correct,1687,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,1,9,correct,4150,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,2,9,correct,999,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,3,7,correct,8155,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,4,9,correct,2971,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,5,7,correct,1047,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,6,9,correct,1235,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,7,9,correct,859,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,8,7,correct,720,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,9,7,correct,714,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,10,7,correct,1095,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,11,7,correct,999,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,12,9,correct,907,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,pauseScreen,2,9,incorrect,3403,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,1,9,correct,627,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,2,9,correct,719,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,3,7,correct,622,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,4,7,correct,1562,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,5,9,correct,1143,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,6,7,correct,671,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,7,7,incorrect,951,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,8,7,correct,1379,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,9,7,correct,764,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,10,7,correct,1002,Press the according button,images/green.png,vision,9,7,green or low pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,11,7,correct,2176,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,12,9,correct,954,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,13,9,correct,860,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,14,9,correct,950,Press the according button,images/sound.jpg,sound,9,7,red or high pitch,,0.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,15,7,correct,904,Press the according button,images/sound.jpg,sound,9,7,green or low pitch,,1.0,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
1,False,green or low pitch,red or high pitch,forced_choice_sound,16,9,correct,1140,Press the according button,images/red.png,vision,9,7,red or high pitch,,,Tue Mar 07 2023 12:09:25 GMT+0100 (Mitteleuropäische Normalzeit),1678187365599,INSERT_A_NUMBER,
